"Payee","CityState","PayeeType","Amount","ExpenditureDate","ExpenditureType","CandidateCommitteeName","CandidateCommitteeID","Independent","Electioneering"
"NGP VAN, INC.","WASHINGTON, DC","Business","305.0000","06/07/2012","Fundraising Expenses","CAMPAIGN TO ELECT ALEKS BRIEDIS","20125023397","No","No"
"NGP VAN, INC.","WASHINGTON, DC","Business","235.0000","07/02/2012","Fundraising Expenses","CAMPAIGN TO ELECT ALEKS BRIEDIS","20125023397","No","No"
"NGP VAN, INC.","WASHINGTON, DC","Business","235.0000","08/01/2012","Fundraising Expenses","CAMPAIGN TO ELECT ALEKS BRIEDIS","20125023397","No","No"
"NGP VAN, INC.","WASHINGTON, DC","Business","235.0000","09/02/2012","Fundraising Expenses","CAMPAIGN TO ELECT ALEKS BRIEDIS","20125023397","No","No"
"NGP VAN","SOMMERVILLE, MA","Business","600.0000","02/28/2012","Other","EL PASO COUNTY DEMOCRATIC PARTY","20065645194","No","No"
"NGP VAN","SOMMERVILLE, MA","Business","150.0000","03/03/2012","Other","EL PASO COUNTY DEMOCRATIC PARTY","20065645194","No","No"
"NGP VAN","SOMMERVILLE, MA","Business","250.0000","03/03/2012","Other","EL PASO COUNTY DEMOCRATIC PARTY","20065645194","No","No"
"NGP VAN INC.","SOMERVILLE, MA","Business","150.0000","07/02/2012","Consultant & Professional Services","CODY ENGELHAUPT FOR LOGAN COUNTY","20125024639","No","No"
"NGP VAN INC.","SOMERVILLE, MA","Business","150.0000","08/30/2012","Advertising","CODY ENGELHAUPT FOR LOGAN COUNTY","20125024639","No","No"
"NGP VAN, INC.","WASHINGTON, DC","Business","960.0000","05/31/2012","Consultant & Professional Services","COLORADO DEMOCRATIC PARTY","19991500001","No","No"
"NGP VAN","WASHINGTON, DC","Business","335.0000","11/01/2012","Consultant & Professional Services","CAMPAIGN TO ELECT SONJA LINMAN","20125024725","No","No"
"NGP VAN","WASHINGTON, DC","Business","335.0000","11/16/2012","Consultant & Professional Services","CAMPAIGN TO ELECT SONJA LINMAN","20125024725","No","No"
"NGP VAN","WASHINGTON, DC","Business","305.0000","07/17/2012","Miscellaneous","CAMPAIGN TO ELECT SONJA LINMAN","20125024725","No","No"
"NGP VAN","WASHINGTON, DC","Business","-100.0000","10/04/2012","Consultant & Professional Services","CAMPAIGN TO ELECT SONJA LINMAN","20125024725","No","No"
"NGP VAN","WASHINGTON, DC, DC","Corporation","750.0000","05/30/2012","Fundraising Expenses","CITIZENS FOR LINDA NEWELL","20085621506","No","No"
"NGP VAN","WASHINGTON, DC","Business","2250.0000","10/01/2012","Other","COLORADO ACCOUNTABLE GOVERNMENT ALLIANCE","20105018796","No","No"
"NGP VAN INC","WASHINGTON, DC","Business","150.0000","06/01/2012","Other","COMMITTEE TO ELECT EMILY TRACY TO SD8","20125023485","No","Yes"
"NGP VAN, INC.","WASHINGTON, DC","Business","960.0000","07/31/2012","Consultant & Professional Services","COLORADO DEMOCRATIC PARTY","19991500001","No","No"
"NGP VAN","SOMERVILLE, MA","Business","30.0000","08/01/2012","Other","ALLPORTFORHD27","20115022942","No","No"
"NGP VAN","SOMERVILLE, MA","Business","30.0000","09/01/2012","Miscellaneous","ALLPORTFORHD27","20115022942","No","No"
"NGP VAN","SOMERVILLE, MA","Business","30.0000","10/01/2012","Consultant & Professional Services","ALLPORTFORHD27","20115022942","No","No"
"NGP VAN","WASHINGTON, DC, DC","Corporation","1000.0000","07/09/2012","Fundraising Expenses","CITIZENS FOR LINDA NEWELL","20085621506","No","No"
"NGP VAN INC","WASHINGTON, DC","Business","105.0000","06/15/2012","Office Equipment & Supplies","AGUILAR FOR 32","20105018808","No","No"
"NGP VAN INC","WASHINGTON, DC","Business","630.0000","09/01/2012","Office Equipment & Supplies","AGUILAR FOR 32","20105018808","No","No"
"NGP VAN","SOMERVILLE, MA","Business","30.0000","03/01/2012","Other","ALLPORTFORHD27","20115022942","No","No"
"NGP VAN","SOMERVILLE, MA","Business","30.0000","04/01/2012","Other","ALLPORTFORHD27","20115022942","No","No"
"NGP-VAN","SOMERVILLE, MA","Business","30.0000","05/01/2012","Other","ALLPORTFORHD27","20115022942","No","No"
"NGP VAN","SOMERVILLE, MA","Business","30.0000","07/01/2012","Other","ALLPORTFORHD27","20115022942","No","No"
"NGP VAN","SOMERVILLE, MA","Business","288.0000","02/07/2012","Miscellaneous","CITIZENS FOR MORGAN CARROLL","20085605385","No","No"
"NGP VAN, INC","WASHINGTON, DC","Business","235.0000","06/07/2012","Other","GARROW FOR REGENT","20115022944","No","No"
"NGP VAN, INC","WASHINGTON, DC","Other","525.0000","07/30/2012","Other","COALITION FOR COLORADO'S FUTURE","20105018791","No","No"
"NGP VAN, INC.","WASHINGTON, DC","Business","235.0000","10/02/2012","Fundraising Expenses","CAMPAIGN TO ELECT ALEKS BRIEDIS","20125023397","No","No"
"NGP VAN, INC.","WASHINGTON, DC","Business","235.0000","11/02/2012","Other","CAMPAIGN TO ELECT ALEKS BRIEDIS","20125023397","No","No"
"NGP SOFTWARE","WASHINGTON, DC","Business","2550.0000","09/20/2012","Consultant & Professional Services","HICKENLOOPER FOR COLORADO","20105016956","No","No"
"NGP VAN","SOMERVILLE, MA","Business","360.0000","10/11/2012","Consultant & Professional Services","PUBLIC EMPLOYEES FOR COLORADO","20125025121","No","No"
"NGP VAN INC.","SOMERVILLE, MA","Business","50.0000","02/03/2012","Office Equipment & Supplies","FRIENDS OF ROLLIE HEATH","20075628643","No","No"
"NGP VAN INC.","SOMERVILLE, MA","Business","50.0000","03/05/2012","Office Equipment & Supplies","FRIENDS OF ROLLIE HEATH","20075628643","No","No"
"NGP VAN INC.","SOMERVILLE, MA","Business","50.0000","04/03/2012","Office Equipment & Supplies","FRIENDS OF ROLLIE HEATH","20075628643","No","No"
"NGP VAN INC.","SOMERVILLE, MA","Business","50.0000","07/03/2012","Consultant & Professional Services","FRIENDS OF ROLLIE HEATH","20075628643","No","No"
"NGP VAN INC.","SOMERVILLE, MA","Business","50.0000","08/01/2012","Consultant & Professional Services","FRIENDS OF ROLLIE HEATH","20075628643","No","No"
"NGP VAN INC.","SOMERVILLE, MA","Business","50.0000","09/04/2012","Consultant & Professional Services","FRIENDS OF ROLLIE HEATH","20075628643","No","No"
"NGP VAN INC.","SOMERVILLE, MA","Business","50.0000","10/03/2012","Office Equipment & Supplies","FRIENDS OF ROLLIE HEATH","20075628643","No","No"
"NGP VAN INC.","SOMERVILLE, MA","Business","50.0000","11/05/2012","Consultant & Professional Services","FRIENDS OF ROLLIE HEATH","20075628643","No","No"
"NGP VAN INC","WASHINGTON, DC","Business","150.0000","04/23/2012","Other","COMMITTEE TO ELECT EMILY TRACY TO SD8","20125023485","No","No"
"NGP VAN INC","WASHINGTON, DC","Business","150.0000","05/02/2012","Other","COMMITTEE TO ELECT EMILY TRACY TO SD8","20125023485","No","No"
"NGP VAN INC","WASHINGTON, DC","Business","60.0000","07/01/2012","Other","COMMITTEE TO ELECT EMILY TRACY TO SD8","20125023485","No","No"
"NGP VAN INC","WASHINGTON, DC","Business","150.0000","08/01/2012","Other","COMMITTEE TO ELECT EMILY TRACY TO SD8","20125023485","No","No"
"NGP VAN INC","WASHINGTON, DC","Business","150.0000","09/04/2012","Other","COMMITTEE TO ELECT EMILY TRACY TO SD8","20125023485","No","No"
"NGP VAN INC","WASHINGTON, DC","Business","150.0000","10/02/2012","Other","COMMITTEE TO ELECT EMILY TRACY TO SD8","20125023485","No","Yes"
"NGP VAN INC","WASHINGTON, DC","Business","150.0000","11/01/2012","Other","COMMITTEE TO ELECT EMILY TRACY TO SD8","20125023485","No","Yes"
"NGP VAN, INC","SOMERVILLE, MA","Business","270.0000","10/24/2012","Advertising","COMMITTEE TO ELECT BRITTANY PETTERSEN","20125023281","No","No"
"NGP VAN","WASHINGTON, DC","Business","525.0000","10/31/2012","Miscellaneous","COALITION FOR COLORADO'S FUTURE","20105018791","No","No"
"NGP VAN","WASHINGTON, DC","Business","525.0000","11/14/2012","Miscellaneous","COALITION FOR COLORADO'S FUTURE","20105018791","No","No"
"NGP VAN","WASHINGTON, DC","Business","235.0000","08/02/2012","Other","CAMPAIGN TO ELECT SONJA LINMAN","20125024725","No","No"
"NGP VAN","WASHINGTON, DC","Business","235.0000","09/04/2012","Consultant & Professional Services","CAMPAIGN TO ELECT SONJA LINMAN","20125024725","No","No"
"NGP VAN","WASHINGTON, DC","Business","100.0000","09/13/2012","Consultant & Professional Services","CAMPAIGN TO ELECT SONJA LINMAN","20125024725","No","No"
"NGP VAN","WASHINGTON, DC","Business","335.0000","10/02/2012","Bank Fees","CAMPAIGN TO ELECT SONJA LINMAN","20125024725","No","No"
"NGP VAN","WASHINGTON, DC","Business","100.0000","10/04/2012","Consultant & Professional Services","CAMPAIGN TO ELECT SONJA LINMAN","20125024725","No","No"
"NGP VAN","WASHINGTON, DC","Business","90.0000","01/18/2012","Office Equipment & Supplies","JIMENEZ FOR SCHOOL BOARD","20095622282","No","No"
"NGP VAN","WASHINGTON, DC","Individual","540.0000","02/06/2012","Office Equipment & Supplies","PEOPLE FOR PAUL ROSENTHAL","20115022032","No","No"
"NGP VAN","SOMERVILLE, MA","Business","30.0000","01/01/2013","Miscellaneous","ALLPORTFORHD27","20115022942","No","No"
"NGP SOFTWARE","WASHINGTON, DC","Business","2550.0000","01/02/2013","Consultant & Professional Services","HICKENLOOPER FOR COLORADO","20105016956","No","No"
"NGP VAN","WASHINGTON, D.","Business","270.0000","02/14/2013","Consultant & Professional Services","PEOPLE FOR PAUL ROSENTHAL","20115022032","No","No"
"NGP VAN, INC.","WASHINGTON, DC","Business","1000.0000","12/18/2012","Consultant & Professional Services","COLORADO DEMOCRATIC PARTY","19991500001","No","No"
"NGP VAN, INC","WASHINGTON, DC","Business","235.0000","12/03/2012","Consultant & Professional Services","GARROW FOR REGENT","20115022944","No","No"
"NGP VAN, INC.","WASHINGTON, DC","Business","3129.3000","02/15/2013","Consultant & Professional Services","COLORADO DEMOCRATIC PARTY","19991500001","No","No"
"NGP VAN INC.","SOMERVILLE, MA","Business","50.0000","12/03/2012","Office Equipment & Supplies","FRIENDS OF ROLLIE HEATH","20075628643","No","No"
"NGP VAN INC.","SOMERVILLE, MA","Business","50.0000","01/03/2013","Office Equipment & Supplies","FRIENDS OF ROLLIE HEATH","20075628643","No","No"
"NGP VAN","SOMERVILLE, MA","Business","288.0000","03/18/2013","Other","CITIZENS FOR MORGAN CARROLL","20085605385","No","No"
"NGP VAN","SOMERVILLE, MA","Business","151.4000","03/21/2013","Office Equipment & Supplies","CITIZENS FOR MORGAN CARROLL","20085605385","No","No"
"NGP VAN INC","WASHINGTON, DC","Business","630.0000","12/01/2012","Office Equipment & Supplies","AGUILAR FOR 32","20105018808","No","No"
"NGP VAN INC","WASHINGTON, DC","Business","630.0000","03/01/2013","Office Equipment & Supplies","AGUILAR FOR 32","20105018808","No","No"
"NGP VAN INC.","SOMERVILLE, MA","Business","50.0000","02/04/2013","Office Equipment & Supplies","FRIENDS OF ROLLIE HEATH","20075628643","No","No"
"NGP VAN INC.","SOMERVILLE, MA","Business","50.0000","03/04/2013","Office Equipment & Supplies","FRIENDS OF ROLLIE HEATH","20075628643","No","No"
